percent,n_pairs,failed_pairs,eer,tar@far=1%,tar@far=0.1%
0,6000,0,0.028999999999999977,0.9706666666666667,0.969
2,6000,0,0.028666666666666642,0.969,0.968
4,6000,0,0.02833333333333333,0.9693333333333334,0.968
6,6000,0,0.028666666666666642,0.969,0.968
8,6000,0,0.028499999999999977,0.969,0.968
10,6000,0,0.02816666666666666,0.969,0.968
12,6000,0,0.029499999999999978,0.968,0.965
15,6000,0,0.03033333333333333,0.9623333333333334,0.9183333333333333
20,6000,0,0.031666666666666676,0.961,0.9226666666666666
30,6000,0,0.17049999999999998,0.533,0.024
40,6000,0,0.4773333333333334,0.006333333333333333,0.0006666666666666666
60,6000,0,0.4695,0.011666666666666667,0.0006666666666666666
80,6000,0,0.47700000000000004,0.008666666666666666,0.0013333333333333333
100,6000,0,0.48216666666666663,0.015666666666666666,0.001
