percent,n_pairs,failed_pairs,eer,tar@far=1%,tar@far=0.1%,n_ref,n_used,n_missing,n_bad,psnr_mean,psnr_median,ssim_mean,ssim_median
0,6000,0,0.0289999999999999,0.9706666666666668,0.969,9133,9133,0,0,99.0,99.0,1.0,1.0
2,6000,0,0.0286666666666666,0.969,0.968,9133,9133,0,0,14.474150264689374,14.337716113499726,0.6530945842715761,0.6498530686154147
4,6000,0,0.0283333333333333,0.9693333333333334,0.968,9133,9133,0,0,14.476629895833787,14.34127250010855,0.6529826901563961,0.6498635719696513
6,6000,0,0.0286666666666666,0.969,0.968,9133,9133,0,0,14.473625775009845,14.348092695073484,0.652792884038645,0.6498384621982187
8,6000,0,0.0284999999999999,0.969,0.968,9133,9133,0,0,14.47228207613275,14.345987539352329,0.6525356219390471,0.6498607605447634
10,6000,0,0.0281666666666666,0.969,0.968,9133,9133,0,0,14.468100241228024,14.345987539352329,0.651923809440413,0.649856236449069
12,6000,0,0.0294999999999999,0.968,0.965,9133,9133,0,0,14.29724113118834,14.221572360605165,0.6373281052378598,0.6492957211277978
15,6000,0,0.0303333333333333,0.9623333333333334,0.9183333333333332,9133,9133,0,0,12.223015505571821,12.155474080773443,0.44058060502950086,0.4166948655797496
20,6000,0,0.0316666666666666,0.961,0.9226666666666666,9133,9133,0,0,12.02265652235208,11.982841414091004,0.4212168038758066,0.4154076719324298
30,6000,0,0.1704999999999999,0.533,0.024,9133,9133,0,0,10.59885396969291,10.606659765894182,0.1871818362902949,0.18267281667792085
40,6000,0,0.4773333333333334,0.0063333333333333,0.0006666666666666,9133,9133,0,0,9.806168955018874,9.813465560042184,0.03840812803733602,0.02656459444520893
60,6000,0,0.4695,0.0116666666666666,0.0006666666666666,9133,9133,0,0,9.783481371973519,9.804395869084098,0.034017681687246316,0.024833084936717348
80,6000,0,0.477,0.0086666666666666,0.0013333333333333,9133,9133,0,0,9.794233512385185,9.81113750344329,0.032578699432581945,0.02403848709932118
100,6000,0,0.4821666666666666,0.0156666666666666,0.001,9133,9133,0,0,9.807264641458335,9.824742142063002,0.031925534035939014,0.02387737734924677
